
1: Before: 0 | x: 0 | After: 0 | Impact: 0
2: Before: 0 | x: 1 | After: 0 | Impact: 0
3: Before: 0 | x: 2 | After: 0 | Impact: 0
4: Before: 0 | x: 3 | After: 0 | Impact: 0
5: Before: 0 | x: 4 | After: 0 | Impact: 0
6: Before: 0 | x: 5 | After: 0 | Impact: 0
7: Before: 0 | x: 6 | After: 0 | Impact: 0

8: Before: 0 | x: 0 | After: 0 | Impact: 0
9: Before: 0 | x: 1 | After: 0 | Impact: 0
10: Before: 0 | x: 2 | After: 0 | Impact: 0
11: Before: 0 | x: 3 | After: 0 | Impact: 0
12: Before: 0 | x: 4 | After: 0 | Impact: 0
13: Before: 0 | x: 5 | After: 0 | Impact: 0
14: Before: 0 | x: 6 | After: 0 | Impact: 0

15: Before: 0 | x: 0 | After: 0 | Impact: 0
16: Before: 0 | x: 1 | After: 0 | Impact: 0
17: Before: 0 | x: 2 | After: 0 | Impact: 0
18: Before: 0 | x: 3 | After: 0 | Impact: 0
19: Before: 0 | x: 4 | After: 0 | Impact: 0
20: Before: 0 | x: 5 | After: 0 | Impact: 0
21: Before: 0 | x: 6 | After: 0 | Impact: 0

22: Before: 0 | x: 0 | After: 0 | Impact: 0
23: Before: 0 | x: 1 | After: 0 | Impact: 0
24: Before: 0 | x: 2 | After: 0 | Impact: 0
25: Before: 0 | x: 3 | After: 0 | Impact: 0
26: Before: 0 | x: 4 | After: 0 | Impact: 0
27: Before: 0 | x: 5 | After: 0 | Impact: 0
28: Before: 0 | x: 6 | After: 0 | Impact: 0

29: Before: 0 | x: 0 | After: 0 | Impact: 0
30: Before: 0 | x: 1 | After: 0 | Impact: 0
31: Before: 0 | x: 2 | After: 0 | Impact: 0
32: Before: 0 | x: 3 | After: 0 | Impact: 0
33: Before: 0 | x: 4 | After: 0 | Impact: 0
34: Before: 0 | x: 5 | After: 0 | Impact: 0
35: Before: 0 | x: 6 | After: 0 | Impact: 0

36: Before: 0 | x: 0 | After: 0 | Impact: 0
37: Before: 0 | x: 1 | After: 0 | Impact: 0
38: Before: 0 | x: 2 | After: 0 | Impact: 0
39: Before: 0 | x: 3 | After: 0 | Impact: 0
40: Before: 0 | x: 4 | After: 0 | Impact: 0
41: Before: 0 | x: 5 | After: 0 | Impact: 0
42: Before: 0 | x: 6 | After: 0 | Impact: 0

43: Before: 1 | x: 0 | After: 1 | Impact: 0
44: Before: 1 | x: 1 | After: 1 | Impact: 0
45: Before: 1 | x: 2 | After: 1 | Impact: 0
46: Before: 1 | x: 3 | After: 1 | Impact: 0
47: Before: 1 | x: 4 | After: 1 | Impact: 0
48: Before: 1 | x: 5 | After: 1 | Impact: 0
49: Before: 1 | x: 6 | After: 1 | Impact: 0

50: Before: 0 | x: 0 | After: 0 | Impact: 0
51: Before: 0 | x: 1 | After: 0 | Impact: 0
52: Before: 0 | x: 2 | After: 0 | Impact: 0
53: Before: 0 | x: 3 | After: 0 | Impact: 0
54: Before: 0 | x: 4 | After: 0 | Impact: 0
55: Before: 0 | x: 5 | After: 0 | Impact: 0
56: Before: 0 | x: 6 | After: 0 | Impact: 0
